אָבִ֤יא	『L70172』『4c.verb.hif.impf.p1.u.sg』
אֲבִיגַ֡יִל	『L74331』『4c.nmpr.f.sg.a』
אֲדֹנָ֑יו	『L70848』『4c.subs.m.pl.a.prs.p3.m.sg』
אֹהֲבַ֣י	『L70964』『4c.subs.qal.ptca.u.m.pl.a.prs.p1.u.sg』
אָֽהֳלֹ֔ו	『L70312』『4c.subs.m.sg.a.prs.p3.m.sg』
אָֽהֳלֹו֙	『L70312』『4c.subs.m.sg.a.prs.p3.m.sg』
אָהֳלֹ֑ו	『L70312』『4c.subs.m.sg.a.prs.p3.m.sg』
אָהֳלֹֽו	『L70312』『4c.subs.m.sg.a.prs.p3.m.sg』
אֹוחִ֜ילָה	『L70442』『4c.verb.hif.impf.p1.u.sg』
אֹֽ֭ויִבְךָ	『L70980』『4c.subs.qal.ptca.u.m.sg.a.prs.p2.m.sg』
אֶזְכֹּ֥ור	『L70421』『4c.verb.qal.impf.p1.u.sg』
אָזְנִ֑י	『L70924』『4c.subs.f.sg.a.prs.p1.u.sg』
אֶחָ֑ד	『L70033』『4c.subs.u.sg.a』
אֲחֹותַ֔יִךְ	『L70323』『4c.subs.f.pl.a.prs.p2.f.sg』
אַחְיֹותַ֔י	『L70323』『4c.subs.f.pl.a』
אַחְיֹֽותֵיהֶ֔ם	『L70323』『4c.subs.f.pl.a.prs.p3.m.pl』
אַחְיֹותָ֜יו	『L70323』『4c.subs.f.pl.a.prs.p3.m.sg』
אֶחָ֜ךְ	『L78428』『4c.subs.m.pl.a.prs.p2.m.sg』
אַחֲרָ֣יו	『L70341』『4c.prep.m.pl.a』
אַחֲרָ֨יו	『L70341』『4c.prep.m.pl.a』
אֲחַשְׁוֵרֹ֧ושׁ	『L77538』『4c.nmpr.m.sg.a』
אַחַת֙	『L70033』『4c.subs.f.sg.a』
אֶחָֽתוְאַחֲרָ֛יו	『L70033』『4c.subs.f.sg.a』『L70008』『4c.conj』『L70341』『4c.prep.m.pl.a.prs.p3.m.sg』
אֵ֣י	『L70214』『4c.inrg』
אֹֽיִבְךָ֙	『L70980』『4c.subs.qal.ptca.u.m.sg.a.prs.p2.m.sg』
אֵילֵ֣י	『L70757』『4c.subs.m.pl.c』
אֵילָ֑יו	『L74715』『4c.subs.m.pl.a.prs.p3.m.sg』
אֵילָ֖יו	『L74715』『4c.subs.m.pl.a.prs.p3.m.sg』
אֵילָֽיו	『L74715』『4c.subs.m.pl.a.prs.p3.m.sg』
אֵילָיו֙	『L74715』『4c.subs.m.pl.a.prs.p3.m.sg』
אִ֖ישׁ	『L70186』『4c.subs.m.sg.a』
אִ֣ישׁ	『L70186』『4c.subs.m.sg.c』
אֲיַשֵּׁ֑ר	『L72979』『4c.verb.piel.impf.p1.u.sg』
אִיתַ֣נָא	『L77670』『4c.subs.u.sg.a.prs.p1.u.pl』
אֲכָלַ֣נִי	『L70167』『4c.verb.qal.perf.p3.m.sg.prs.p1.u.sg』
אָכָ֑לְתְּ	『L70167』『4c.verb.qal.perf.p2.f.sg』
אֶֽכְרָת	『L70466』『4c.verb.qal.impf.p1.u.sg』
אֶ֨כְתָּב	『L72118』『4c.verb.qal.impf.p1.u.sg』
אֶל	『L70043』『4c.prep』
אַל	『L70653』『4c.nega』
אֵ֚ל	『L78373』『4c.prde.u.pl』
אֱלֹהֵ֥י	『L70004』『4c.subs.m.pl.c』
אֱלֹהִ֜ים	『L70004』『4c.subs.m.pl.a』
אֵלַ֔י	『L70043』『4c.prep』
אֵלַ֖י	『L70043』『4c.prep』
אֵלָ֔יו	『L70043』『4c.prep.prs.p3.m.sg』
אֵלָיו֙	『L70043』『4c.prep.prs.p3.m.sg』
אֵלָ֖יו	『L74715』『4c.subs.m.pl.a.prs.p3.m.sg』
אֵלָ֣יו	『L74715』『4c.subs.m.pl.a.prs.p3.m.sg』
אַלְמְנֹותָיו֙	『L71518』『4c.subs.f.pl.a.prs.p3.m.sg』
אַלְפִין֙	『L78021』『4c.subs.m.pl.a』
אַמֹּות֒	『L70389』『4c.subs.f.pl.a』
אֲמָנָ֨ה	『L74902』『4c.nmpr.u.sg.a』
אָמְר֣וּ	『L70020』『4c.verb.qal.perf.p3.u.pl』
אֲנַ֜חְנוּ	『L70655』『4c.prps.p1.u.pl』
אֳנִיֹּ֗ות	『L71765』『4c.subs.f.pl.a』
אֲנִֽיעֲךָ֤	『L70290』『4c.verb.hif.impf.p1.u.sg.prs.p2.m.sg』
אֲנָשָׁ֗א	『L77671』『4c.subs.m.sg.e』
אֲנָשָׁ֣א	『L77671』『4c.subs.m.sg.e』
אַ֖נְתְּ	『L77757』『4c.prps.p2.m.sg』
אַ֣נְתְּ	『L77757』『4c.prps.p2.m.sg』
אַ֤נְתְּ	『L77757』『4c.prps.p2.m.sg』
אַנְתְּ	『L77757』『4c.prps.p2.m.sg』
אֲסִירֵ֥י	『L71539』『4c.subs.m.pl.c』
אֶֽסְלַֽח	『L72427』『4c.verb.qal.impf.p1.u.sg』
אֶעֱבֹ֑ור	『L70422』『4c.verb.qal.impf.p1.u.sg』
אֶצָּרְךָ֤	『L70125』『4c.verb.qal.impf.p1.u.sg.prs.p2.m.sg』
אַרְבַּ֖ע	『L70144』『4c.subs.u.sg.c』
אֲרַ֥וְנָה	『L74641』『4c.nmpr.m.sg.a』
אֹֽרְחֹתָ֑יו	『L70844』『4c.subs.m.pl.a.prs.p3.m.sg』
אֲרִ֖י	『L72978』『4c.subs.m.sg.a』
אֲרִיצֵם֙	『L70825』『4c.verb.hif.impf.p1.u.sg.prs.p3.m.pl』
אַרְכְּוָיֵ֤א	『L78310』『4c.subs.m.pl.e』
אַרְתַּחְשַׁ֖שְׂתְּ	『L78293』『4c.nmpr.m.sg.a』
אַרְתַּחְשַׁ֣שְׂתְּ	『L78303』『4c.nmpr.m.sg.a』
אֵ֥שׁ	『L70780』『4c.subs.u.sg.c』
אַשְׁדֳּדִיֹּ֔ות	『L73604』『4c.adjv.f.pl.a』
אָשִׁ֛יב	『L70243』『4c.verb.hif.impf.p1.u.sg』
אָשִׁ֥יב	『L70243』『4c.verb.hif.impf.p1.u.sg』
אָשְׁיֹותֶ֔יהָ	『L76145』『4c.subs.f.pl.a.prs.p3.f.sg』
אֶשְׁמָר	『L70165』『4c.verb.qal.impf.p1.u.sg』
אֶשְׁקֳטָ֖ה	『L73585』『4c.verb.qal.impf.p1.u.sg』
אֲשֶׁ֥ר	『L70037』『4c.conj』
אֲשֶׁר֩	『L70037』『4c.conj』
אֶשְׁתַּנִּ֔י	『L77669』『4c.verb.etpa.perf.p3.m.sg』
אֶת	『L70005』『4c.prep』
אַ֖תְּ	『L70633』『4c.prps.p2.f.sg』
אַ֣תְּ	『L70633』『4c.prps.p2.f.sg』
אָ֑תְּ	『L70633』『4c.prps.p2.f.sg』
אַ֠תָּה	『L70219』『4c.prps.p2.m.sg』
אַתָּ֖ה	『L70219』『4c.prps.p2.m.sg』
אַתָּ֣ה	『L70219』『4c.prps.p2.m.sg』
אֶתְעֲקַ֖רָה	『L78143』『4c.verb.etpe.perf.p3.f.pl』
בַּגֹּויִ֣ם	『L70001』『4c.prep』『L70006』『4c.art』『L70500』『4c.subs.m.pl.a』
בַּטְּחֹרִ֑ים	『L70001』『4c.prep』『L70006』『4c.art』『L73393』『4c.subs.m.pl.a』
