L70001	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>in</font></b>
L70002	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>beginning</font></b>
L70003	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>create</font></b>
L70004	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>god(s)</font></b>
L70005	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>[object marker]</font></b>
L70006	<font color='5'>[Ancient Hebrew]</font> <b>article</b>; <b><font color='1'>the</font></b>
L70007	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>heavens</font></b>
L70008	<font color='5'>[Ancient Hebrew]</font> <b>conjunction</b>; <b><font color='1'>and</font></b>
L70009	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>earth</font></b>
L70010	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; copulative verb; <b><font color='1'>be</font></b>
L70011	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>emptiness</font></b>
L70012	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>emptiness</font></b>
L70013	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>darkness</font></b>
L70014	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>upon</font></b>
L70015	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>face</font></b>
L70016	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>primeval ocean</font></b>
L70017	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>wind</font></b>
L70018	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>shake</font></b>
L70019	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>water</font></b>
L70020	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; quotation verb; <b><font color='1'>say</font></b>
L70021	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>light</font></b>
L70022	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>see</font></b>
L70023	<font color='5'>[Ancient Hebrew]</font> <b>conjunction</b>; <b><font color='1'>that</font></b>
L70024	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be good</font></b>
L70025	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>separate</font></b>
L70026	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential preposition; <b><font color='1'>interval</font></b>
L70027	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>call</font></b>
L70028	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>to</font></b>
L70029	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>day</font></b>
L70030	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>night</font></b>
L70031	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>evening</font></b>
L70032	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>morning</font></b>
L70033	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; cardinal; <b><font color='1'>one</font></b>
L70034	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>firmament</font></b>
L70035	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>midst</font></b>
L70036	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>make</font></b>
L70037	<font color='5'>[Ancient Hebrew]</font> <b>conjunction</b>; <b><font color='1'>[relative]</font></b>
L70038	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>from</font></b>
L70039	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential preposition; <b><font color='1'>under part</font></b>
L70040	<font color='5'>[Ancient Hebrew]</font> <b>adverb</b>; anaphoric adverb; <b><font color='1'>thus</font></b>
L70041	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>second</font></b>
L70042	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>collect</font></b>
L70043	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>to</font></b>
L70044	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>place</font></b>
L70045	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>dry land</font></b>
L70046	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>collection</font></b>
L70047	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>sea</font></b>
L70048	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>grow green</font></b>
L70049	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>young grass</font></b>
L70050	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>herb</font></b>
L70051	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>sow</font></b>
L70052	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>seed</font></b>
L70053	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>tree</font></b>
L70054	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>fruit</font></b>
L70055	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>kind</font></b>
L70056	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>go out</font></b>
L70057	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>third</font></b>
L70058	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>lamp</font></b>
L70059	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>sign</font></b>
L70060	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>appointment</font></b>
L70061	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>year</font></b>
L70062	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be light</font></b>
L70063	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; cardinal; <b><font color='1'>two</font></b>
L70064	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>great</font></b>
L70065	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>dominion</font></b>
