L70001	<hr>realized lexeme(s): <big><a href='S:ב'>ב</a></big>&#x200E;, <big><a href='S:בְ'>בְ</a></big>&#x200E;, <big><a href='S:בְּ'>בְּ</a></big>&#x200E;, <big><a href='S:בִ'>בִ</a></big>&#x200E;, <big><a href='S:בִּ'>בִּ</a></big>&#x200E;, <big><a href='S:בֵ'>בֵ</a></big>&#x200E;, <big><a href='S:בֵּ'>בֵּ</a></big>&#x200E;, <big><a href='S:בֶ'>בֶ</a></big>&#x200E;, <big><a href='S:בֶּ'>בֶּ</a></big>&#x200E;, <big><a href='S:בַ'>בַ</a></big>&#x200E;, <big><a href='S:בַּ'>בַּ</a></big>&#x200E;, <big><a href='S:בָ'>בָ</a></big>&#x200E;, <big><a href='S:בָּ'>בָּ</a></big>&#x200E;, <big><a href='S:בּ'>בּ</a></big>&#x200E;, <big><a href='S:בה'>בה</a></big>&#x200E;, <big><a href='S:מ'>מ</a></big>&#x200E;<hr>
L70002	<hr>realized lexeme(s): <big><a href='S:רֵאשִׁית'>רֵאשִׁית</a></big>&#x200E;, <big><a href='S:רֵאשִׁת'>רֵאשִׁת</a></big>&#x200E;, <big><a href='S:רֵשִׁית'>רֵשִׁית</a></big>&#x200E;<hr>
L70003	<hr>realized lexeme(s): <big><a href='S:בֹורֵא'>בֹורֵא</a></big>&#x200E;, <big><a href='S:בֹּורְא'>בֹּורְא</a></big>&#x200E;, <big><a href='S:בֹּורֵא'>בֹּורֵא</a></big>&#x200E;, <big><a href='S:בְרְא'>בְרְא</a></big>&#x200E;, <big><a href='S:בְרֵא'>בְרֵא</a></big>&#x200E;, <big><a href='S:בְרָא'>בְרָא</a></big>&#x200E;, <big><a href='S:בְּרָא'>בְּרָא</a></big>&#x200E;, <big><a href='S:בְּרֹא'>בְּרֹא</a></big>&#x200E;, <big><a href='S:בָרָא'>בָרָא</a></big>&#x200E;, <big><a href='S:בָּרְא'>בָּרְא</a></big>&#x200E;, <big><a href='S:בָּרֵא'>בָּרֵא</a></big>&#x200E;, <big><a href='S:בָּרַא'>בָּרַא</a></big>&#x200E;, <big><a href='S:בָּרָא'>בָּרָא</a></big>&#x200E;, <big><a href='S:בֹרֵא'>בֹרֵא</a></big>&#x200E;, <big><a href='S:בֹּרַא'>בֹּרַא</a></big>&#x200E;<hr>
L70004	<hr>realized lexeme(s): <big><a href='S:אלה'>אלה</a></big>&#x200E;, <big><a href='S:אלֹה'>אלֹה</a></big>&#x200E;, <big><a href='S:אֱלֹה'>אֱלֹה</a></big>&#x200E;, <big><a href='S:אֱלֹוה'>אֱלֹוה</a></big>&#x200E;<hr>
L70005	<hr>realized lexeme(s): <big><a href='S:אֹות'>אֹות</a></big>&#x200E;, <big><a href='S:אֵת'>אֵת</a></big>&#x200E;, <big><a href='S:אֶת'>אֶת</a></big>&#x200E;, <big><a href='S:אֶתְ'>אֶתְ</a></big>&#x200E;, <big><a href='S:אֹת'>אֹת</a></big>&#x200E;, <big><a href='S:ואת'>ואת</a></big>&#x200E;<hr>
L70006	<hr>realized lexeme(s): <big><a href='S:ב'>ב</a></big>&#x200E;, <big><a href='S:ה'>ה</a></big>&#x200E;, <big><a href='S:הֳ'>הֳ</a></big>&#x200E;, <big><a href='S:הֶ'>הֶ</a></big>&#x200E;, <big><a href='S:הַ'>הַ</a></big>&#x200E;, <big><a href='S:הָ'>הָ</a></big>&#x200E;<hr>
L70007	<hr>realized lexeme(s): <big><a href='S:שְׁם'>שְׁם</a></big>&#x200E;, <big><a href='S:שְּׁם'>שְּׁם</a></big>&#x200E;, <big><a href='S:שָׁם'>שָׁם</a></big>&#x200E;, <big><a href='S:שָׁמַי'>שָׁמַי</a></big>&#x200E;, <big><a href='S:שָׁמָי'>שָׁמָי</a></big>&#x200E;, <big><a href='S:שָּׁמַי'>שָּׁמַי</a></big>&#x200E;, <big><a href='S:שָּׁמַיְ'>שָּׁמַיְ</a></big>&#x200E;, <big><a href='S:שָּׁמָי'>שָּׁמָי</a></big>&#x200E;, <big><a href='S:שָּׁמָיְ'>שָּׁמָיְ</a></big>&#x200E;<hr>
L70008	<hr>realized lexeme(s): <big><a href='S:ו'>ו</a></big>&#x200E;, <big><a href='S:וְ'>וְ</a></big>&#x200E;, <big><a href='S:וֲ'>וֲ</a></big>&#x200E;, <big><a href='S:וִ'>וִ</a></big>&#x200E;, <big><a href='S:וִּ'>וִּ</a></big>&#x200E;, <big><a href='S:וֵ'>וֵ</a></big>&#x200E;, <big><a href='S:וֶ'>וֶ</a></big>&#x200E;, <big><a href='S:וַ'>וַ</a></big>&#x200E;, <big><a href='S:וָ'>וָ</a></big>&#x200E;, <big><a href='S:וּ'>וּ</a></big>&#x200E;, <big><a href='S:ול'>ול</a></big>&#x200E;, <big><a href='S:י'>י</a></big>&#x200E;<hr>
L70009	<hr>realized lexeme(s): <big><a href='S:ארץ'>ארץ</a></big>&#x200E;, <big><a href='S:אֲרָץ'>אֲרָץ</a></big>&#x200E;, <big><a href='S:אֶרֶץ'>אֶרֶץ</a></big>&#x200E;, <big><a href='S:אַרְץ'>אַרְץ</a></big>&#x200E;, <big><a href='S:אָרְץ'>אָרְץ</a></big>&#x200E;, <big><a href='S:אָרֶץ'>אָרֶץ</a></big>&#x200E;<hr>
L70010	<hr>realized lexeme(s): <big><a href='S:הֹוי'>הֹוי</a></big>&#x200E;, <big><a href='S:הי'>הי</a></big>&#x200E;, <big><a href='S:הְי'>הְי</a></big>&#x200E;, <big><a href='S:הְיִ'>הְיִ</a></big>&#x200E;, <big><a href='S:הֱי'>הֱי</a></big>&#x200E;, <big><a href='S:הֱיִ'>הֱיִ</a></big>&#x200E;, <big><a href='S:הֲי'>הֲי</a></big>&#x200E;, <big><a href='S:הִי'>הִי</a></big>&#x200E;, <big><a href='S:הָי'>הָי</a></big>&#x200E;, <big><a href='S:הָיִ'>הָיִ</a></big>&#x200E;, <big><a href='S:היה'>היה</a></big>&#x200E;, <big><a href='S:הְיֵה'>הְיֵה</a></big>&#x200E;, <big><a href='S:הְיֶה'>הְיֶה</a></big>&#x200E;, <big><a href='S:הְיָה'>הְיָה</a></big>&#x200E;, <big><a href='S:הֱיֵה'>הֱיֵה</a></big>&#x200E;, <big><a href='S:הָיָה'>הָיָה</a></big>&#x200E;, <big><a href='S:הָיֹה'>הָיֹה</a></big>&#x200E;, <big><a href='S:הָיֹו'>הָיֹו</a></big>&#x200E;, <big><a href='S:היי'>היי</a></big>&#x200E;, <big><a href='S:הְיִי'>הְיִי</a></big>&#x200E;, <big><a href='S:הְיֵי'>הְיֵי</a></big>&#x200E;, <big><a href='S:הְיֶי'>הְיֶי</a></big>&#x200E;, <big><a href='S:הֱיִי'>הֱיִי</a></big>&#x200E;, <big><a href='S:הָיִי'>הָיִי</a></big>&#x200E;, <big><a href='S:יהי'>יהי</a></big>&#x200E;<hr>
L70011	<hr>realized lexeme(s): <big><a href='S:תֹהוּ'>תֹהוּ</a></big>&#x200E;, <big><a href='S:תֹּהוּ'>תֹּהוּ</a></big>&#x200E;<hr>
L70012	<hr>realized lexeme(s): <big><a href='S:בֹהוּ'>בֹהוּ</a></big>&#x200E;<hr>
L70013	<hr>realized lexeme(s): <big><a href='S:חָשְׁךּ'>חָשְׁךּ</a></big>&#x200E;, <big><a href='S:חֹשֶׁךְ'>חֹשֶׁךְ</a></big>&#x200E;<hr>
L70014	<hr>realized lexeme(s): <big><a href='S:על'>על</a></big>&#x200E;, <big><a href='S:עֲלֵ'>עֲלֵ</a></big>&#x200E;, <big><a href='S:עַל'>עַל</a></big>&#x200E;, <big><a href='S:עלי'>עלי</a></big>&#x200E;, <big><a href='S:עֲלֵי'>עֲלֵי</a></big>&#x200E;, <big><a href='S:עֳלֶי'>עֳלֶי</a></big>&#x200E;, <big><a href='S:עָלֵי'>עָלֵי</a></big>&#x200E;, <big><a href='S:עָלֶי'>עָלֶי</a></big>&#x200E;, <big><a href='S:עָלַי'>עָלַי</a></big>&#x200E;, <big><a href='S:עָלָי'>עָלָי</a></big>&#x200E;, <big><a href='S:עָלָיְ'>עָלָיְ</a></big>&#x200E;<hr>
L70015	<hr>realized lexeme(s): <big><a href='S:פְן'>פְן</a></big>&#x200E;, <big><a href='S:פְּן'>פְּן</a></big>&#x200E;, <big><a href='S:פָן'>פָן</a></big>&#x200E;, <big><a href='S:פָּן'>פָּן</a></big>&#x200E;<hr>
L70016	<hr>realized lexeme(s): <big><a href='S:תְהֹום'>תְהֹום</a></big>&#x200E;, <big><a href='S:תְּהֹום'>תְּהֹום</a></big>&#x200E;, <big><a href='S:תְהֹם'>תְהֹם</a></big>&#x200E;, <big><a href='S:תְּהֹם'>תְּהֹם</a></big>&#x200E;<hr>
L70017	<hr>realized lexeme(s): <big><a href='S:רוּח'>רוּח</a></big>&#x200E;, <big><a href='S:רוּחַ'>רוּחַ</a></big>&#x200E;, <big><a href='S:רֻח'>רֻח</a></big>&#x200E;<hr>
L70018	<hr>realized lexeme(s): <big><a href='S:רַחֵף'>רַחֵף</a></big>&#x200E;, <big><a href='S:רַחֶף'>רַחֶף</a></big>&#x200E;, <big><a href='S:רָחֲף'>רָחֲף</a></big>&#x200E;<hr>
L70019	<hr>realized lexeme(s): <big><a href='S:מ'>מ</a></big>&#x200E;, <big><a href='S:מּ'>מּ</a></big>&#x200E;, <big><a href='S:מַי'>מַי</a></big>&#x200E;, <big><a href='S:מַּי'>מַּי</a></big>&#x200E;, <big><a href='S:מַּיְ'>מַּיְ</a></big>&#x200E;, <big><a href='S:מָי'>מָי</a></big>&#x200E;, <big><a href='S:מָּי'>מָּי</a></big>&#x200E;, <big><a href='S:מָּיְ'>מָּיְ</a></big>&#x200E;, <big><a href='S:מֵים'>מֵים</a></big>&#x200E;, <big><a href='S:מֵּים'>מֵּים</a></big>&#x200E;, <big><a href='S:שׁ'>שׁ</a></big>&#x200E;, <big><a href='S:שׁי'>שׁי</a></big>&#x200E;<hr>
L70020	<hr>realized lexeme(s): <big><a href='S:אֹומֵר'>אֹומֵר</a></big>&#x200E;, <big><a href='S:אמֹור'>אמֹור</a></big>&#x200E;, <big><a href='S:אָמוּר'>אָמוּר</a></big>&#x200E;, <big><a href='S:אָמֹור'>אָמֹור</a></big>&#x200E;, <big><a href='S:אֱמִיר'>אֱמִיר</a></big>&#x200E;, <big><a href='S:אמר'>אמר</a></big>&#x200E;, <big><a href='S:אמְר'>אמְר</a></big>&#x200E;, <big><a href='S:אמֵר'>אמֵר</a></big>&#x200E;, <big><a href='S:אמֶר'>אמֶר</a></big>&#x200E;, <big><a href='S:אמַר'>אמַר</a></big>&#x200E;, <big><a href='S:אמַרְ'>אמַרְ</a></big>&#x200E;, <big><a href='S:אמֹר'>אמֹר</a></big>&#x200E;, <big><a href='S:אֱמַר'>אֱמַר</a></big>&#x200E;, <big><a href='S:אֱמַרְ'>אֱמַרְ</a></big>&#x200E;, <big><a href='S:אֱמָר'>אֱמָר</a></big>&#x200E;, <big><a href='S:אֱמָרְ'>אֱמָרְ</a></big>&#x200E;, <big><a href='S:אֱמֹר'>אֱמֹר</a></big>&#x200E;, <big><a href='S:אֲמַרְ'>אֲמַרְ</a></big>&#x200E;, <big><a href='S:אֲמָר'>אֲמָר</a></big>&#x200E;, <big><a href='S:אֲמָרְ'>אֲמָרְ</a></big>&#x200E;, <big><a href='S:אֲמֹר'>אֲמֹר</a></big>&#x200E;, <big><a href='S:אִמְר'>אִמְר</a></big>&#x200E;, <big><a href='S:אָמְר'>אָמְר</a></big>&#x200E;, <big><a href='S:אָמֵר'>אָמֵר</a></big>&#x200E;, <big><a href='S:אָמֶר'>אָמֶר</a></big>&#x200E;, <big><a href='S:אָמַר'>אָמַר</a></big>&#x200E;, <big><a href='S:אָמַרְ'>אָמַרְ</a></big>&#x200E;, <big><a href='S:אָמָר'>אָמָר</a></big>&#x200E;, <big><a href='S:אָמָרְ'>אָמָרְ</a></big>&#x200E;, <big><a href='S:אָמֹר'>אָמֹר</a></big>&#x200E;, <big><a href='S:אֹמְר'>אֹמְר</a></big>&#x200E;, <big><a href='S:אֹמֵר'>אֹמֵר</a></big>&#x200E;, <big><a href='S:אֹמֶר'>אֹמֶר</a></big>&#x200E;, <big><a href='S:ומְר'>ומְר</a></big>&#x200E;, <big><a href='S:ומַר'>ומַר</a></big>&#x200E;, <big><a href='S:מְר'>מְר</a></big>&#x200E;, <big><a href='S:מַר'>מַר</a></big>&#x200E;<hr>
L70021	<hr>realized lexeme(s): <big><a href='S:אֹור'>אֹור</a></big>&#x200E;<hr>
L70022	<hr>realized lexeme(s): <big><a href='S:ורא'>ורא</a></big>&#x200E;, <big><a href='S:רא'>רא</a></big>&#x200E;, <big><a href='S:רְא'>רְא</a></big>&#x200E;, <big><a href='S:רְאֲ'>רְאֲ</a></big>&#x200E;, <big><a href='S:רְאֵ'>רְאֵ</a></big>&#x200E;, <big><a href='S:רֶא'>רֶא</a></big>&#x200E;, <big><a href='S:רָא'>רָא</a></big>&#x200E;, <big><a href='S:רָאִ'>רָאִ</a></big>&#x200E;, <big><a href='S:רֹא'>רֹא</a></big>&#x200E;, <big><a href='S:רֻאּ'>רֻאּ</a></big>&#x200E;, <big><a href='S:ראה'>ראה</a></big>&#x200E;, <big><a href='S:רְאֵה'>רְאֵה</a></big>&#x200E;, <big><a href='S:רְאֶה'>רְאֶה</a></big>&#x200E;, <big><a href='S:רְאָה'>רְאָה</a></big>&#x200E;, <big><a href='S:רְאֹה'>רְאֹה</a></big>&#x200E;, <big><a href='S:רָאֵה'>רָאֵה</a></big>&#x200E;, <big><a href='S:רָאֶה'>רָאֶה</a></big>&#x200E;, <big><a href='S:רָאָה'>רָאָה</a></big>&#x200E;, <big><a href='S:רָאֹה'>רָאֹה</a></big>&#x200E;, <big><a href='S:רֹאֵה'>רֹאֵה</a></big>&#x200E;, <big><a href='S:רֹאֶה'>רֹאֶה</a></big>&#x200E;, <big><a href='S:רָאֹו'>רָאֹו</a></big>&#x200E;, <big><a href='S:ראי'>ראי</a></big>&#x200E;, <big><a href='S:רְאִי'>רְאִי</a></big>&#x200E;, <big><a href='S:רְאֵי'>רְאֵי</a></big>&#x200E;, <big><a href='S:רְאֶי'>רְאֶי</a></big>&#x200E;, <big><a href='S:רְאֻי'>רְאֻי</a></big>&#x200E;, <big><a href='S:רְּאִי'>רְּאִי</a></big>&#x200E;, <big><a href='S:רָאִי'>רָאִי</a></big>&#x200E;, <big><a href='S:רֹאַי'>רֹאַי</a></big>&#x200E;<hr>
L70023	<hr>realized lexeme(s): <big><a href='S:וכי'>וכי</a></big>&#x200E;, <big><a href='S:כִי'>כִי</a></big>&#x200E;, <big><a href='S:כִּי'>כִּי</a></big>&#x200E;, <big><a href='S:כִּי אם'>כִּי אם</a></big>&#x200E;<hr>
L70024	<hr>realized lexeme(s): <big><a href='S:טֹּב'>טֹּב</a></big>&#x200E;, <big><a href='S:טוב'>טוב</a></big>&#x200E;, <big><a href='S:טֹוב'>טֹוב</a></big>&#x200E;, <big><a href='S:טִיב'>טִיב</a></big>&#x200E;, <big><a href='S:טִיבֹ'>טִיבֹ</a></big>&#x200E;<hr>
L70025	<hr>realized lexeme(s): <big><a href='S:בְדִּיל'>בְדִּיל</a></big>&#x200E;, <big><a href='S:בְדְּל'>בְדְּל</a></big>&#x200E;, <big><a href='S:בְדִּל'>בְדִּל</a></big>&#x200E;, <big><a href='S:בְדֵּל'>בְדֵּל</a></big>&#x200E;, <big><a href='S:בְדַּלְ'>בְדַּלְ</a></big>&#x200E;, <big><a href='S:בְדָּל'>בְדָּל</a></big>&#x200E;, <big><a href='S:בָּדְל'>בָּדְל</a></big>&#x200E;, <big><a href='S:בָּדֵל'>בָּדֵל</a></big>&#x200E;<hr>
L70026	<hr>realized lexeme(s): <big><a href='S:בין'>בין</a></big>&#x200E;, <big><a href='S:בֵין'>בֵין</a></big>&#x200E;, <big><a href='S:בֵּין'>בֵּין</a></big>&#x200E;, <big><a href='S:בֵּיןֵ'>בֵּיןֵ</a></big>&#x200E;<hr>
L70027	<hr>realized lexeme(s): <big><a href='S:קֹורֵא'>קֹורֵא</a></big>&#x200E;, <big><a href='S:קֹורָא'>קֹורָא</a></big>&#x200E;, <big><a href='S:קֹּורֵא'>קֹּורֵא</a></big>&#x200E;, <big><a href='S:קרא'>קרא</a></big>&#x200E;, <big><a href='S:קְרְא'>קְרְא</a></big>&#x200E;, <big><a href='S:קְרֵא'>קְרֵא</a></big>&#x200E;, <big><a href='S:קְרֶא'>קְרֶא</a></big>&#x200E;, <big><a href='S:קְרָא'>קְרָא</a></big>&#x200E;, <big><a href='S:קְרֹא'>קְרֹא</a></big>&#x200E;, <big><a href='S:קְרֻא'>קְרֻא</a></big>&#x200E;, <big><a href='S:קְּרֻא'>קְּרֻא</a></big>&#x200E;, <big><a href='S:קִרְא'>קִרְא</a></big>&#x200E;, <big><a href='S:קָרְא'>קָרְא</a></big>&#x200E;, <big><a href='S:קָרָא'>קָרָא</a></big>&#x200E;, <big><a href='S:קָּרְא'>קָּרְא</a></big>&#x200E;, <big><a href='S:קָּרֵא'>קָּרֵא</a></big>&#x200E;, <big><a href='S:קֹרְא'>קֹרְא</a></big>&#x200E;, <big><a href='S:קֹרִא'>קֹרִא</a></big>&#x200E;, <big><a href='S:קֹרֵא'>קֹרֵא</a></big>&#x200E;, <big><a href='S:קֹרָא'>קֹרָא</a></big>&#x200E;, <big><a href='S:קֹּרֵא'>קֹּרֵא</a></big>&#x200E;, <big><a href='S:קְרוּא'>קְרוּא</a></big>&#x200E;, <big><a href='S:קְרֹוא'>קְרֹוא</a></big>&#x200E;, <big><a href='S:קְּרוּא'>קְּרוּא</a></big>&#x200E;, <big><a href='S:קָרוּא'>קָרוּא</a></big>&#x200E;, <big><a href='S:קריא'>קריא</a></big>&#x200E;<hr>
L70028	<hr>realized lexeme(s): <big><a href='S:ל'>ל</a></big>&#x200E;, <big><a href='S:לְ'>לְ</a></big>&#x200E;, <big><a href='S:לְּ'>לְּ</a></big>&#x200E;, <big><a href='S:לֲ'>לֲ</a></big>&#x200E;, <big><a href='S:לִ'>לִ</a></big>&#x200E;, <big><a href='S:לִּ'>לִּ</a></big>&#x200E;, <big><a href='S:לֵ'>לֵ</a></big>&#x200E;, <big><a href='S:לֵּ'>לֵּ</a></big>&#x200E;, <big><a href='S:לֶ'>לֶ</a></big>&#x200E;, <big><a href='S:לֶּ'>לֶּ</a></big>&#x200E;, <big><a href='S:לַ'>לַ</a></big>&#x200E;, <big><a href='S:לַּ'>לַּ</a></big>&#x200E;, <big><a href='S:לָ'>לָ</a></big>&#x200E;, <big><a href='S:לָּ'>לָּ</a></big>&#x200E;, <big><a href='S:לּ'>לּ</a></big>&#x200E;, <big><a href='S:לֿ'>לֿ</a></big>&#x200E;<hr>
L70029	<hr>realized lexeme(s): <big><a href='S:יֹום'>יֹום</a></big>&#x200E;, <big><a href='S:יֹּום'>יֹּום</a></big>&#x200E;, <big><a href='S:ים'>ים</a></big>&#x200E;, <big><a href='S:יְם'>יְם</a></big>&#x200E;, <big><a href='S:יָם'>יָם</a></big>&#x200E;, <big><a href='S:יָּם'>יָּם</a></big>&#x200E;, <big><a href='S:יֹם'>יֹם</a></big>&#x200E;, <big><a href='S:יֹּם'>יֹּם</a></big>&#x200E;<hr>
L70030	<hr>realized lexeme(s): <big><a href='S:ליל'>ליל</a></big>&#x200E;, <big><a href='S:לֵיל'>לֵיל</a></big>&#x200E;, <big><a href='S:לֵּיל'>לֵּיל</a></big>&#x200E;, <big><a href='S:לַיְלָה'>לַיְלָה</a></big>&#x200E;, <big><a href='S:לַּיְלָה'>לַּיְלָה</a></big>&#x200E;, <big><a href='S:לָיְלָה'>לָיְלָה</a></big>&#x200E;, <big><a href='S:לָּיְלָה'>לָּיְלָה</a></big>&#x200E;<hr>
L70031	<hr>realized lexeme(s): <big><a href='S:עֲרְבּ'>עֲרְבּ</a></big>&#x200E;, <big><a href='S:עֶרֶב'>עֶרֶב</a></big>&#x200E;, <big><a href='S:עַרְבּ'>עַרְבּ</a></big>&#x200E;, <big><a href='S:עָרֶב'>עָרֶב</a></big>&#x200E;<hr>
L70032	<hr>realized lexeme(s): <big><a href='S:בְקָר'>בְקָר</a></big>&#x200E;, <big><a href='S:בְּקָר'>בְּקָר</a></big>&#x200E;, <big><a href='S:בֹקֶר'>בֹקֶר</a></big>&#x200E;, <big><a href='S:בֹּקֶר'>בֹּקֶר</a></big>&#x200E;<hr>
L70033	<hr>realized lexeme(s): <big><a href='S:אח'>אח</a></big>&#x200E;, <big><a href='S:אֶח'>אֶח</a></big>&#x200E;, <big><a href='S:אַח'>אַח</a></big>&#x200E;, <big><a href='S:אחד'>אחד</a></big>&#x200E;, <big><a href='S:אֲחָד'>אֲחָד</a></big>&#x200E;, <big><a href='S:אֶחָד'>אֶחָד</a></big>&#x200E;, <big><a href='S:אַחַד'>אַחַד</a></big>&#x200E;<hr>
L70034	<hr>realized lexeme(s): <big><a href='S:רְקִיעַ'>רְקִיעַ</a></big>&#x200E;, <big><a href='S:רָקִיעַ'>רָקִיעַ</a></big>&#x200E;<hr>
L70035	<hr>realized lexeme(s): <big><a href='S:תוך'>תוך</a></big>&#x200E;, <big><a href='S:תָּוֶךְ'>תָּוֶךְ</a></big>&#x200E;, <big><a href='S:תֹוך'>תֹוך</a></big>&#x200E;, <big><a href='S:תֹוךְ'>תֹוךְ</a></big>&#x200E;, <big><a href='S:תֹּוך'>תֹּוך</a></big>&#x200E;, <big><a href='S:תֹּוךְ'>תֹּוךְ</a></big>&#x200E;, <big><a href='S:תֹך'>תֹך</a></big>&#x200E;<hr>
L70036	<hr>realized lexeme(s): <big><a href='S:עֹושׂ'>עֹושׂ</a></big>&#x200E;, <big><a href='S:עֹושֵׂה'>עֹושֵׂה</a></big>&#x200E;, <big><a href='S:עֹושֶׂה'>עֹושֶׂה</a></big>&#x200E;, <big><a href='S:עשׂ'>עשׂ</a></big>&#x200E;, <big><a href='S:עְשׂ'>עְשׂ</a></big>&#x200E;, <big><a href='S:עֱשׂ'>עֱשׂ</a></big>&#x200E;, <big><a href='S:עֲשֹׂ'>עֲשֹׂ</a></big>&#x200E;, <big><a href='S:עֲשׂ'>עֲשׂ</a></big>&#x200E;, <big><a href='S:עִשּׂ'>עִשּׂ</a></big>&#x200E;, <big><a href='S:עֶשׂ'>עֶשׂ</a></big>&#x200E;, <big><a href='S:עַשׂ'>עַשׂ</a></big>&#x200E;, <big><a href='S:עָשִׂ'>עָשִׂ</a></big>&#x200E;, <big><a href='S:עָשׂ'>עָשׂ</a></big>&#x200E;, <big><a href='S:עֹשׂ'>עֹשׂ</a></big>&#x200E;, <big><a href='S:עשׂה'>עשׂה</a></big>&#x200E;, <big><a href='S:עֱשֶׂה'>עֱשֶׂה</a></big>&#x200E;, <big><a href='S:עֱשֶׂהּ'>עֱשֶׂהּ</a></big>&#x200E;, <big><a href='S:עֲשֵׂה'>עֲשֵׂה</a></big>&#x200E;, <big><a href='S:עֲשֶׂה'>עֲשֶׂה</a></big>&#x200E;, <big><a href='S:עֲשָׂה'>עֲשָׂה</a></big>&#x200E;, <big><a href='S:עֲשֹׂה'>עֲשֹׂה</a></big>&#x200E;, <big><a href='S:עָשֶׂה'>עָשֶׂה</a></big>&#x200E;, <big><a href='S:עָשָׂה'>עָשָׂה</a></big>&#x200E;, <big><a href='S:עָשָׂהּ'>עָשָׂהּ</a></big>&#x200E;, <big><a href='S:עָשֹׂה'>עָשֹׂה</a></big>&#x200E;, <big><a href='S:עֹשֵׂה'>עֹשֵׂה</a></big>&#x200E;, <big><a href='S:עֹשֶׂה'>עֹשֶׂה</a></big>&#x200E;, <big><a href='S:עשׂו'>עשׂו</a></big>&#x200E;, <big><a href='S:עֲשֹׂו'>עֲשֹׂו</a></big>&#x200E;, <big><a href='S:עָשֹׂו'>עָשֹׂו</a></big>&#x200E;, <big><a href='S:עָשׂוּ'>עָשׂוּ</a></big>&#x200E;, <big><a href='S:עֲשׂוּי'>עֲשׂוּי</a></big>&#x200E;, <big><a href='S:עָשׂוּי'>עָשׂוּי</a></big>&#x200E;, <big><a href='S:עשׂי'>עשׂי</a></big>&#x200E;, <big><a href='S:עֲשִׂי'>עֲשִׂי</a></big>&#x200E;, <big><a href='S:עֲשֶׂי'>עֲשֶׂי</a></big>&#x200E;, <big><a href='S:עֲשֻׂי'>עֲשֻׂי</a></big>&#x200E;, <big><a href='S:עָשִׂי'>עָשִׂי</a></big>&#x200E;, <big><a href='S:עָשֶׂי'>עָשֶׂי</a></big>&#x200E;, <big><a href='S:עֹשֶׂי'>עֹשֶׂי</a></big>&#x200E;, <big><a href='S:עֻשֵּׂי'>עֻשֵּׂי</a></big>&#x200E;, <big><a href='S:עשׂר'>עשׂר</a></big>&#x200E;<hr>
L70037	<hr>realized lexeme(s): <big><a href='S:אשׁר'>אשׁר</a></big>&#x200E;, <big><a href='S:אֲשֶׁר'>אֲשֶׁר</a></big>&#x200E;, <big><a href='S:את אֲשֶׁר'>את אֲשֶׁר</a></big>&#x200E;<hr>
