L70001		בְּ	B.:	B	in
L70002		רֵאשִׁית	R;>CIJT	R>CJT/	beginning
L70003		ברא	BR>	BR>[	create
L70004		אֱלֹהִים	>:ELOHIJM	>LHJM/	god(s)
L70005		אֵת	>;T	>T	[object marker]
L70006		הַ	HA	H	the
L70007		שָׁמַיִם	C@MAJIM	CMJM/	heavens
L70008		וְ	W:	W	and
L70009		אֶרֶץ	>EREY	>RY/	earth
L70010		היה	HJH	HJH[	be
L70011		תֹּהוּ	T.OHW.	THW/	emptiness
L70012		בֹּהוּ	B.OHW.	BHW/	emptiness
L70013		חֹשֶׁךְ	XOCEK:	XCK/	darkness
L70014		עַל	<AL	<L	upon
L70015		פָּנֶה	P.@NEH	PNH/	face
L70016		תְּהֹום	T.:HOWM	THWM/	primeval ocean
L70017		רוּחַ	RW.XA	RWX/	wind
L70018		רחף	RXP	RXP[	shake
L70019		מַיִם	MAJIM	MJM/	water
L70020		אמר	>MR	>MR[	say
L70021		אֹור	>OWR	>WR/	light
L70022		ראה	R>H	R>H[	see
L70023		כִּי	K.IJ	KJ	that
L70024		טוב	VWB	VWB[	be good
L70025		בדל	BDL	BDL[	separate
L70026		בַּיִן	B.AJIN	BJN/	interval
L70027		קרא	QR>	QR>[	call
L70028		לְ	L:	L	to
L70029		יֹום	JOWM	JWM/	day
L70030		לַיְלָה	LAJ:L@H	LJLH/	night
L70031		עֶרֶב	<EREB	<RB/	evening
L70032		בֹּקֶר	B.OQER	BQR=/	morning
L70033		אֶחָד	>EX@D	>XD/	one
L70034		רָקִיעַ	R@QIJ<A	RQJ</	firmament
L70035		תָּוֶךְ	T.@WEK:	TWK/	midst
L70036		עשׂה	<FH	<FH[	make
L70037		אֲשֶׁר	>:ACER	>CR	[relative]
L70038		מִן	MIN	MN	from
L70039		תַּחַת	T.AXAT	TXT/	under part
L70040		כֵּן	K.;N	KN	thus
L70041		שֵׁנִי	C;NIJ	CNJ/	second
L70042		קוה	QWH	QWH=[	collect
L70043		אֶל	>EL	>L	to
L70044		מָקֹום	M@QOWM	MQWM/	place
L70045		יַבָּשָׁה	JAB.@C@H	JBCH/	dry land
L70046		מִקְוֶה	MIQ:WEH	MQWH/	collection
L70047		יָם	J@M	JM/	sea
L70048		דשׁא	DC>	DC>[	grow green
L70049		דֶּשֶׁא	D.ECE>	DC>/	young grass
L70050		עֵשֶׂב	<;FEB	<FB/	herb
L70051		זרע	ZR<	ZR<[	sow
L70052		זֶרַע	ZERA<	ZR</	seed
L70053		עֵץ	<;Y	<Y/	tree
L70054		פְּרִי	P.:RIJ	PRJ/	fruit
L70055		מִין	MIJN	MJN/	kind
L70056		יצא	JY>	JY>[	go out
L70057		שְׁלִישִׁי	C:LIJCIJ	CLJCJ/	third
L70058		מָאֹור	M@>OWR	M>WR/	lamp
L70059		אֹות	>OWT	>WT/	sign
L70060		מֹועֵד	MOW<;D	MW<D/	appointment
L70061		שָׁנָה	C@N@H	CNH/	year
L70062		אור	>WR	>WR[	be light
L70063		שְׁנַיִם	C:NAJIM	CNJM/	two
L70064		גָּדֹול	G.@DOWL	GDWL/	great
L70065		מֶמְשֶׁלֶת	MEM:CELET	MMCLT/	dominion
L70066		קָטֹן	Q@VON	QVN/	small
L70067		כֹּוכָב	K.OWK@B	KWKB/	star
L70068		נתן	NTN	NTN[	give
L70069		משׁל	MCL	MCL[	rule
L70070		רְבִיעִי	R:BIJ<IJ	RBJ<J/	fourth
L70071		שׁרץ	CRY	CRY[	swarm
L70072		שֶׁרֶץ	CEREY	CRY/	swarming creatures
L70073		נֶפֶשׁ	NEPEC	NPC/	soul
L70074		חַי	XAJ	XJ/	alive
L70075		עֹוף	<OWP	<WP/	birds
L70076		עוף	<WP	<WP[	fly
L70077		תַּנִּין	T.AN.IJN	TNJN/	sea-monster
L70078		כֹּל	K.OL	KL/	whole
L70079		רמשׂ	RMF	RMF[	creep
L70080		כָּנָף	K.@N@P	KNP/	wing
L70081		ברך	BRK	BRK[	bless
L70082		פרה	PRH	PRH[	be fertile
L70083		רבה	RBH	RBH[	be many
L70084		מלא	ML>	ML>[	be full
L70085		חֲמִישִׁי	X:AMIJCIJ	XMJCJ/	fifth
L70086		בְּהֵמָה	B.:H;M@H	BHMH/	cattle
L70087		רֶמֶשׂ	REMEF	RMF/	creeping animals
L70088		חַיָּה	XAJ.@H	XJH/	wild animal
L70089		אֲדָמָה	>:AD@M@H	>DMH/	soil
L70090		אָדָם	>@D@M	>DM/	human, mankind
L70091		צֶלֶם	YELEM	YLM/	image
L70092		כְּ	K.:	K	as
L70093		דְּמוּת	D.:MW.T	DMWT/	likeness
L70094		רדה	RDH	RDH[	tread, to rule
L70095		דָּגָה	D.@G@H	DGH/	fish
L70096		זָכָר	Z@K@R	ZKR=/	male
L70097		נְקֵבָה	N:Q;B@H	NQBH/	female
L70098		כבשׁ	KBC	KBC[	subdue
L70099		הִנֵּה	HIN.;H	HNH	behold
L70100		אָכְלָה	>@K:L@H	>KLH/	food
L70101		יֶרֶק	JEREQ	JRQ/	greens
L70102		טֹוב	VOWB	VWB/	good
L70103		מְאֹד	M:>OD	M>D/	might
L70104		שִׁשִּׁי	CIC.IJ	CCJ/	sixth
L70105		כלה	KLH	KLH[	be complete
L70106		צָבָא	Y@B@>	YB>/	service
L70107		שְׁבִיעִי	C:BIJ<IJ	CBJ<J/	seventh
L70108		מְלֶאכֶת	M:LE>KET	ML>KT/	work
L70109		שׁבת	CBT	CBT[	cease
L70110		קדשׁ	QDC	QDC[	be holy
L70111		אֵלֶּה	>;L.EH	>LH	these
L70112		תֹּולֵדֹות	T.OWL;DOWT	TWLDWT/	generations
L70113		יְהוָה	J:HW@H	JHWH/	YHWH
L70114		שִׂיחַ	FIJXA	FJX/	shrub
L70115		שָׂדֶה	F@DEH	FDH/	open field
L70116		טֶרֶם	VEREM	VRM/	beginning
L70117		צמח	YMX	YMX[	sprout
L70118		לֹא	LO>	L>	not
L70119		מטר	MVR	MVR[	rain
L70120		אַיִן	>AJIN	>JN/	[NEG]
L70121		עבד	<BD	<BD[	work, serve
L70122		אֵד	>;D	>D/	[uncertain]
L70123		עלה	<LH	<LH[	ascend
L70124		שׁקה	CQH	CQH[	give drink
L70125		יצר	JYR	JYR[	shape
L70126		עָפָר	<@P@R	<PR/	dust
L70127		נפח	NPX	NPX[	blow
L70128		אַף	>AP	>P/	nose
L70129		נְשָׁמָה	N:C@M@H	NCMH/	breath
L70130		חַיִּים	XAJ.IJM	XJJM/	life
L70131		נטע	NV<	NV<[	plant
L70132		גַּן	G.AN	GN/	garden
L70133		עֵדֶן	<;DEN	<DN=/	Eden
L70134		קֶדֶם	QEDEM	QDM/	front
L70135		שׂים	FJM	FJM[	put
L70136		שָׁם	C@M	CM	there
L70137		חמד	XMD	XMD[	desire
L70138		מַרְאֶה	MAR:>EH	MR>H/	sight
L70139		מַאֲכָל	MA>:AK@L	M>KL/	food
L70140		דַּעַת	D.A<AT	D<T/	knowledge
L70141		רַע	RA<	R</	evil
L70142		נָהָר	N@H@R	NHR/	stream
L70143		פרד	PRD	PRD[	divide
L70144		אַרְבַּע	>AR:B.A<	>RB</	four
L70145		רֹאשׁ	RO>C	R>C/	head
L70146		שֵׁם	C;M	CM/	name
L70147		פִּישֹׁון	P.IJCOWN	PJCWN/	Pishon
L70148		הוּא	HW.>	HW>	he
L70149		סבב	SBB	SBB[	turn
L70150		חֲוִילָה	X:AWIJL@H	XWJLH/	Havilah
