1	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>in</font></b>
2	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>beginning</font></b>
3	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>create</font></b>
4	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>god(s)</font></b>
5	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>[object marker]</font></b>
6	<font color='5'>[Ancient Hebrew]</font> <b>article</b>; <b><font color='1'>the</font></b>
7	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>heavens</font></b>
8	<font color='5'>[Ancient Hebrew]</font> <b>conjunction</b>; <b><font color='1'>and</font></b>
9	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>earth</font></b>
10	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; copulative verb; <b><font color='1'>be</font></b>
11	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>emptiness</font></b>
12	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>emptiness</font></b>
13	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>darkness</font></b>
14	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>upon</font></b>
15	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>face</font></b>
16	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>primeval ocean</font></b>
17	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>wind</font></b>
18	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>shake</font></b>
19	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>water</font></b>
20	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; quotation verb; <b><font color='1'>say</font></b>
21	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>light</font></b>
22	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>see</font></b>
23	<font color='5'>[Ancient Hebrew]</font> <b>conjunction</b>; <b><font color='1'>that</font></b>
24	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be good</font></b>
25	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>separate</font></b>
26	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential preposition; <b><font color='1'>interval</font></b>
27	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>call</font></b>
28	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>to</font></b>
29	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>day</font></b>
30	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>night</font></b>
31	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>evening</font></b>
32	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>morning</font></b>
33	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; cardinal; <b><font color='1'>one</font></b>
34	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>firmament</font></b>
35	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>midst</font></b>
36	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>make</font></b>
37	<font color='5'>[Ancient Hebrew]</font> <b>conjunction</b>; <b><font color='1'>[relative]</font></b>
38	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>from</font></b>
39	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential preposition; <b><font color='1'>under part</font></b>
40	<font color='5'>[Ancient Hebrew]</font> <b>adverb</b>; anaphoric adverb; <b><font color='1'>thus</font></b>
41	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>second</font></b>
42	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>collect</font></b>
43	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>to</font></b>
44	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>place</font></b>
45	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>dry land</font></b>
46	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>collection</font></b>
47	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>sea</font></b>
48	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>grow green</font></b>
49	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>young grass</font></b>
50	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>herb</font></b>
51	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>sow</font></b>
52	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>seed</font></b>
53	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>tree</font></b>
54	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>fruit</font></b>
55	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>kind</font></b>
56	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>go out</font></b>
57	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>third</font></b>
58	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>lamp</font></b>
59	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>sign</font></b>
60	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>appointment</font></b>
61	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>year</font></b>
62	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be light</font></b>
63	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; cardinal; <b><font color='1'>two</font></b>
64	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>great</font></b>
65	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>dominion</font></b>
66	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>small</font></b>
67	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>star</font></b>
68	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>give</font></b>
69	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>rule</font></b>
70	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>fourth</font></b>
71	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>swarm</font></b>
72	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>swarming creatures</font></b>
73	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>soul</font></b>
74	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>alive</font></b>
75	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>birds</font></b>
76	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>fly</font></b>
77	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>sea-monster</font></b>
78	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; distributive noun; <b><font color='1'>whole</font></b>
79	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>creep</font></b>
80	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>wing</font></b>
81	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>bless</font></b>
82	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be fertile</font></b>
83	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be many</font></b>
84	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be full</font></b>
85	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>fifth</font></b>
86	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>cattle</font></b>
87	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>creeping animals</font></b>
88	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>wild animal</font></b>
89	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>soil</font></b>
90	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>human, mankind</font></b>
91	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>image</font></b>
92	<font color='5'>[Ancient Hebrew]</font> <b>preposition</b>; <b><font color='1'>as</font></b>
93	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>likeness</font></b>
94	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>tread, to rule</font></b>
95	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>fish</font></b>
96	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>male</font></b>
97	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>female</font></b>
98	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>subdue</font></b>
99	<font color='5'>[Ancient Hebrew]</font> <b>interjection</b>; <b><font color='1'>behold</font></b>
100	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>food</font></b>
101	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>greens</font></b>
102	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; <b><font color='1'>good</font></b>
103	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; potential adverb; <b><font color='1'>might</font></b>
104	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>sixth</font></b>
105	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>be complete</font></b>
106	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>service</font></b>
107	<font color='5'>[Ancient Hebrew]</font> <b>adjective</b>; ordinal; <b><font color='1'>seventh</font></b>
108	<font color='5'>[Ancient Hebrew]</font> <b>noun</b>; <b><font color='1'>work</font></b>
109	<font color='5'>[Ancient Hebrew]</font> <b>verb</b>; <b><font color='1'>cease</font></b>
