1		בְּ	B.:	B	in
2		רֵאשִׁית	R;>CIJT	R>CJT/	beginning
3		ברא	BR>	BR>[	create
4		אֱלֹהִים	>:ELOHIJM	>LHJM/	god(s)
5		אֵת	>;T	>T	[object marker]
6		הַ	HA	H	the
7		שָׁמַיִם	C@MAJIM	CMJM/	heavens
8		וְ	W:	W	and
9		אֶרֶץ	>EREY	>RY/	earth
10		היה	HJH	HJH[	be
11		תֹּהוּ	T.OHW.	THW/	emptiness
12		בֹּהוּ	B.OHW.	BHW/	emptiness
13		חֹשֶׁךְ	XOCEK:	XCK/	darkness
14		עַל	<AL	<L	upon
15		פָּנֶה	P.@NEH	PNH/	face
16		תְּהֹום	T.:HOWM	THWM/	primeval ocean
17		רוּחַ	RW.XA	RWX/	wind
18		רחף	RXP	RXP[	shake
19		מַיִם	MAJIM	MJM/	water
20		אמר	>MR	>MR[	say
21		אֹור	>OWR	>WR/	light
22		ראה	R>H	R>H[	see
23		כִּי	K.IJ	KJ	that
24		טוב	VWB	VWB[	be good
25		בדל	BDL	BDL[	separate
26		בַּיִן	B.AJIN	BJN/	interval
27		קרא	QR>	QR>[	call
28		לְ	L:	L	to
29		יֹום	JOWM	JWM/	day
30		לַיְלָה	LAJ:L@H	LJLH/	night
31		עֶרֶב	<EREB	<RB/	evening
32		בֹּקֶר	B.OQER	BQR=/	morning
33		אֶחָד	>EX@D	>XD/	one
34		רָקִיעַ	R@QIJ<A	RQJ</	firmament
35		תָּוֶךְ	T.@WEK:	TWK/	midst
36		עשׂה	<FH	<FH[	make
37		אֲשֶׁר	>:ACER	>CR	[relative]
38		מִן	MIN	MN	from
39		תַּחַת	T.AXAT	TXT/	under part
40		כֵּן	K.;N	KN	thus
41		שֵׁנִי	C;NIJ	CNJ/	second
42		קוה	QWH	QWH=[	collect
43		אֶל	>EL	>L	to
44		מָקֹום	M@QOWM	MQWM/	place
45		יַבָּשָׁה	JAB.@C@H	JBCH/	dry land
46		מִקְוֶה	MIQ:WEH	MQWH/	collection
47		יָם	J@M	JM/	sea
48		דשׁא	DC>	DC>[	grow green
49		דֶּשֶׁא	D.ECE>	DC>/	young grass
50		עֵשֶׂב	<;FEB	<FB/	herb
51		זרע	ZR<	ZR<[	sow
52		זֶרַע	ZERA<	ZR</	seed
53		עֵץ	<;Y	<Y/	tree
54		פְּרִי	P.:RIJ	PRJ/	fruit
55		מִין	MIJN	MJN/	kind
56		יצא	JY>	JY>[	go out
57		שְׁלִישִׁי	C:LIJCIJ	CLJCJ/	third
58		מָאֹור	M@>OWR	M>WR/	lamp
59		אֹות	>OWT	>WT/	sign
60		מֹועֵד	MOW<;D	MW<D/	appointment
61		שָׁנָה	C@N@H	CNH/	year
62		אור	>WR	>WR[	be light
63		שְׁנַיִם	C:NAJIM	CNJM/	two
64		גָּדֹול	G.@DOWL	GDWL/	great
65		מֶמְשֶׁלֶת	MEM:CELET	MMCLT/	dominion
66		קָטֹן	Q@VON	QVN/	small
67		כֹּוכָב	K.OWK@B	KWKB/	star
68		נתן	NTN	NTN[	give
69		משׁל	MCL	MCL[	rule
70		רְבִיעִי	R:BIJ<IJ	RBJ<J/	fourth
71		שׁרץ	CRY	CRY[	swarm
72		שֶׁרֶץ	CEREY	CRY/	swarming creatures
73		נֶפֶשׁ	NEPEC	NPC/	soul
74		חַי	XAJ	XJ/	alive
75		עֹוף	<OWP	<WP/	birds
76		עוף	<WP	<WP[	fly
77		תַּנִּין	T.AN.IJN	TNJN/	sea-monster
78		כֹּל	K.OL	KL/	whole
79		רמשׂ	RMF	RMF[	creep
80		כָּנָף	K.@N@P	KNP/	wing
81		ברך	BRK	BRK[	bless
82		פרה	PRH	PRH[	be fertile
83		רבה	RBH	RBH[	be many
84		מלא	ML>	ML>[	be full
85		חֲמִישִׁי	X:AMIJCIJ	XMJCJ/	fifth
86		בְּהֵמָה	B.:H;M@H	BHMH/	cattle
87		רֶמֶשׂ	REMEF	RMF/	creeping animals
88		חַיָּה	XAJ.@H	XJH/	wild animal
89		אֲדָמָה	>:AD@M@H	>DMH/	soil
90		אָדָם	>@D@M	>DM/	human, mankind
91		צֶלֶם	YELEM	YLM/	image
92		כְּ	K.:	K	as
93		דְּמוּת	D.:MW.T	DMWT/	likeness
94		רדה	RDH	RDH[	tread, to rule
95		דָּגָה	D.@G@H	DGH/	fish
96		זָכָר	Z@K@R	ZKR=/	male
97		נְקֵבָה	N:Q;B@H	NQBH/	female
98		כבשׁ	KBC	KBC[	subdue
99		הִנֵּה	HIN.;H	HNH	behold
100		אָכְלָה	>@K:L@H	>KLH/	food
101		יֶרֶק	JEREQ	JRQ/	greens
102		טֹוב	VOWB	VWB/	good
103		מְאֹד	M:>OD	M>D/	might
104		שִׁשִּׁי	CIC.IJ	CCJ/	sixth
105		כלה	KLH	KLH[	be complete
106		צָבָא	Y@B@>	YB>/	service
107		שְׁבִיעִי	C:BIJ<IJ	CBJ<J/	seventh
108		מְלֶאכֶת	M:LE>KET	ML>KT/	work
109		שׁבת	CBT	CBT[	cease
110		קדשׁ	QDC	QDC[	be holy
111		אֵלֶּה	>;L.EH	>LH	these
112		תֹּולֵדֹות	T.OWL;DOWT	TWLDWT/	generations
113		יְהוָה	J:HW@H	JHWH/	YHWH
114		שִׂיחַ	FIJXA	FJX/	shrub
115		שָׂדֶה	F@DEH	FDH/	open field
116		טֶרֶם	VEREM	VRM/	beginning
117		צמח	YMX	YMX[	sprout
118		לֹא	LO>	L>	not
119		מטר	MVR	MVR[	rain
120		אַיִן	>AJIN	>JN/	[NEG]
121		עבד	<BD	<BD[	work, serve
122		אֵד	>;D	>D/	[uncertain]
123		עלה	<LH	<LH[	ascend
124		שׁקה	CQH	CQH[	give drink
125		יצר	JYR	JYR[	shape
126		עָפָר	<@P@R	<PR/	dust
127		נפח	NPX	NPX[	blow
128		אַף	>AP	>P/	nose
129		נְשָׁמָה	N:C@M@H	NCMH/	breath
130		חַיִּים	XAJ.IJM	XJJM/	life
131		נטע	NV<	NV<[	plant
132		גַּן	G.AN	GN/	garden
133		עֵדֶן	<;DEN	<DN=/	Eden
134		קֶדֶם	QEDEM	QDM/	front
135		שׂים	FJM	FJM[	put
136		שָׁם	C@M	CM	there
